Group,File Name,Size (Bytes),Path
Group 1,"sample-1.jpg",1062185,"/home/tahaur/Desktop/dummy folder for scan/sample-1.jpg"
Group 1,"sample-1 (1).jpg",1062185,"/home/tahaur/Desktop/dummy folder for scan/sample-1 (1).jpg"
Group 2,"sample-4.png",5575433,"/home/tahaur/Desktop/dummy folder for scan/sample-4.png"
Group 2,"sample-4 (1).png",5575433,"/home/tahaur/Desktop/dummy folder for scan/sample-4 (1).png"
Group 3,"sample-1 (1).png",13735317,"/home/tahaur/Desktop/dummy folder for scan/sample-1 (1).png"
Group 3,"sample-1.png",13735317,"/home/tahaur/Desktop/dummy folder for scan/sample-1.png"
Group 4,"sample-3 (1).jpg",1181074,"/home/tahaur/Desktop/dummy folder for scan/sample-3 (1).jpg"
Group 4,"sample-3.jpg",1181074,"/home/tahaur/Desktop/dummy folder for scan/sample-3.jpg"
Group 5,"sample-5 (2).pdf",46887,"/home/tahaur/Desktop/dummy folder for scan/sample-5 (2).pdf"
Group 5,"sample-5.pdf",46887,"/home/tahaur/Desktop/dummy folder for scan/sample-5.pdf"
Group 5,"sample-5 (1).pdf",46887,"/home/tahaur/Desktop/dummy folder for scan/sample-5 (1).pdf"
Group 6,"sample-5 (1).png",1428019,"/home/tahaur/Desktop/dummy folder for scan/sample-5 (1).png"
Group 6,"sample-5.png",1428019,"/home/tahaur/Desktop/dummy folder for scan/sample-5.png"
Group 7,"sample-2 (2).jpg",557069,"/home/tahaur/Desktop/dummy folder for scan/sample-2 (2).jpg"
Group 7,"sample-2 (1).jpg",557069,"/home/tahaur/Desktop/dummy folder for scan/sample-2 (1).jpg"
Group 7,"sample-2.jpg",557069,"/home/tahaur/Desktop/dummy folder for scan/sample-2.jpg"
Group 8,"sample-1 (1).pdf",69988,"/home/tahaur/Desktop/dummy folder for scan/sample-1 (1).pdf"
Group 8,"sample-1.pdf",69988,"/home/tahaur/Desktop/dummy folder for scan/sample-1.pdf"
Group 9,"sample-1 (1).mp4",102795794,"/home/tahaur/Desktop/dummy folder for scan/sample-1 (1).mp4"
Group 9,"sample-1 (2).mp4",102795794,"/home/tahaur/Desktop/dummy folder for scan/sample-1 (2).mp4"
Group 9,"sample-1.mp4",102795794,"/home/tahaur/Desktop/dummy folder for scan/sample-1.mp4"
Group 9,"sample-1 (3).mp4",102795794,"/home/tahaur/Desktop/dummy folder for scan/sample-1 (3).mp4"
Group 10,"sample-4.jpg",494371,"/home/tahaur/Desktop/dummy folder for scan/sample-4.jpg"
Group 10,"sample-4 (1).jpg",494371,"/home/tahaur/Desktop/dummy folder for scan/sample-4 (1).jpg"
Group 11,"sample-2 (1).pdf",22698,"/home/tahaur/Desktop/dummy folder for scan/sample-2 (1).pdf"
Group 11,"sample-2 (2).pdf",22698,"/home/tahaur/Desktop/dummy folder for scan/sample-2 (2).pdf"
Group 11,"sample-2.pdf",22698,"/home/tahaur/Desktop/dummy folder for scan/sample-2.pdf"
